flow	speed	occupancy	probability
			0.0
-1.0	64.2	8.0	0.0
-23.0	51.0	1.0	0.0
21.0	-1.3	55.0	0.0
-12.0	54.0	11.0	0.0
-6.0	54.0	1.0	0.0
-14.0	44.4	1.0	0.0
-3.0	144.0	0.0	0.0
-7.0	48.6	3.0	0.0
-3.0	144.0	0.0	0.0
-1.0	74.4	3.0	0.0
-22.0	144.0	0.0	0.0
-1.0	54.0	1.0	0.0
-22.0	55.8	2.0	0.0
-6.0	63.0	4.0	0.0
-16.0	58.8	2.0	0.0
-15.0	56.4	2.0	0.0
-12.0	60.6	2.0	0.0
-3.0	48.6	18.0	0.0
-6.0	55.8	1.0	0.0
-7.0	144.0	0.0	0.0
-4.0	53.4	6.0	0.0
-5.0	144.0	0.0	0.0
-9.0	58.8	5.0	0.0
21.0	-1.6	36.0	0.0
-6.0	58.2	3.0	0.0
-17.0	55.2	1.0	0.0
-9.0	43.8	23.0	0.0
15.0	-7.3	45.0	0.0
-1.0	144.0	0.0	0.0
-4.0	58.8	4.0	0.0
-5.0	64.8	4.0	0.0
-2.0	62.4	1.0	0.0
-2.0	72.0	2.0	0.0
-3.0	49.2	5.0	0.0
-5.0	55.2	3.0	0.0
-3.0	63.6	12.0	0.0
-10.0	57.0	3.0	0.0
20.0	-6.5	62.0	0.0
-7.0	55.8	2.0	0.0
-2.0	70.2	6.0	0.0
-9.0	51.0	2.0	0.0
-8.0	144.0	0.0	0.0
-4.0	54.6	6.0	0.0
-8.0	58.2	3.0	0.0
-13.0	58.8	4.0	0.0
-16.0	144.0	0.0	0.0
-17.0	4.2	81.0	0.0
-10.0	76.2	2.0	0.0
-8.0	147.3	0.0	0.0
-10.0	58.8	1.0	0.0
-8.0	79.2	6.0	0.0
-7.0	50.4	1.0	0.0
-5.0	61.8	2.0	0.0
-4.0	74.4	2.0	0.0
-1.0	54.6	1.0	0.0
-1.0	67.8	2.0	0.0
32.0	-7.7	43.0	0.0
-2.0	51.0	2.0	0.0
-8.0	51.0	5.0	0.0
-17.0	54.6	1.0	0.0
32.0	-5.1	38.0	0.0
-21.0	65.865346352	1.0	0.0
-4.0	54.680664896	1.0	0.0
-15.0	50.331066551999996	3.0	0.0
-2.0	53.437922512	3.0	0.0
-13.0	65.24397516	2.0	0.0
32.0	-1.922977816	38.0	0.0
-3.0	57.787520856	3.0	0.0
-2.0	52.195180128000004	1.0	0.0
-2.0	62.758490392	5.0	0.0
-1.0	62.1371192	3.0	0.0
-2.0	67.108088736	9.0	0.0
-2.0	58.408892048	3.0	0.0
-2.0	58.408892048	11.0	0.0
-2.0	55.92340728	4.0	0.0
-3.0	51.573808936000006	16.0	0.0
-6.0	62.1371192	4.0	0.0
-14.0	59.03026324	4.0	0.0
-6.0	149.12908608	0.0	0.0
20.0	-10.543545696	60.0	0.0
-3.0	55.92340728	5.0	0.0
-4.0	57.787520856	3.0	0.0
-1.0	55.92340728	1.0	0.0
-3.0	60.894376816000005	1.0	0.0
-6.0	70.836315888	2.0	0.0
-1.0	58.408892048	7.0	0.0
-11.0	149.12908608	0.0	0.0
-10.0	1.242742384	79.0	0.0
-8.0	65.865346352	5.0	0.0
-10.0	59.651634432	1.0	0.0
7.0	-10.614515232	79.0	0.0
-3.0	61.8	4.0	0.0
-1.0	48.6	18.0	0.0
-7.0	46.8	1.0	0.0
-5.0	58.8	1.0	0.0
-12.0	44.4	18.0	0.0
-2.0	58.8	2.0	0.0
-7.0	144.0	0.0	0.0
-1.0	65.4	2.0	0.0
-2.0	63.6	3.0	0.0
-7.0	51.6	1.0	0.0
-6.0	66.6	7.0	0.0
-7.0	51.0	3.0	0.0
-16.0	54.0	1.0	0.0
-19.0	53.4	2.0	0.0
-7.0	61.2	5.0	0.0
-14.0	36.0	10.0	0.0
-4.0	47.4	7.0	0.0
-9.0	77.050027808	3.0	0.0
-7.0	56.4	3.0	0.0
-7.0	60.0	2.0	0.0
-11.0	69.59357350399999	5.0	0.0
-6.0	73.32180065600001	3.0	0.0
-6.0	42.874612248000005	4.0	0.0
-4.0	48.0	23.0	0.0
-18.0	79.2	8.0	0.0
-6.0	62.4	4.0	0.0
-4.0	60.0	3.0	0.0
-3.0	61.2	3.0	0.0
-21.0	54.0	5.0	0.0
-5.0	52.2	3.0	0.0
-16.0	54.6	10.0	0.0
26.0	-2.6	45.0	0.0
-14.0	132.1	0.0	0.0
-9.0	50.4	10.0	0.0
-2.0	60.6	1.0	0.0
